ProductID,Category,Title,Description,Price,Link,Rating,Image1,Image2,Image3,Image4
20,PlayStation 5 Controllers,Replacement Hall Effect Joystick 3D Analog Sensor ThumbStick for PS5/PS4/Xbox One/Series Controller Repair Parts Accessory,,0.99,https://www.aliexpress.com/item/1005006282848536.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-19&pdp_npi=4%40dis%21PKR%21977.75%21869.42%21%21%213.52%213.13%21%4021411ecc17317818742363674e29cf%2112000036614999988%21sea%21PK%210%21ABX&curPageLogUid=4FzKL5yKZzPo&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_5,0,./productsAliExpress/PlayStation 5 Controllers_20_1.png,./productsAliExpress/PlayStation 5 Controllers_20_2.png,./productsAliExpress/PlayStation 5 Controllers_20_3.png,./productsAliExpress/PlayStation 5 Controllers_20_4.png
21,PlayStation 5 Controllers,Sony PlayStation DualSense Edge Wireless Controller PS5 controller - PlayStation 5,,284.31,https://www.aliexpress.com/item/1005005195728246.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-20&pdp_npi=4%40dis%21PKR%21101147.60%2180917.52%21%21%21364.14%21291.31%21%4021411ecc17317818742363674e29cf%2112000032090133033%21sea%21PK%210%21ABX&curPageLogUid=5mJ5uQcV6MU9&utparam-url=scene%3Asearch%7Cquery_from%3A,5,./productsAliExpress/PlayStation 5 Controllers_21_1.png,./productsAliExpress/PlayStation 5 Controllers_21_2.png,./productsAliExpress/PlayStation 5 Controllers_21_3.png,./productsAliExpress/PlayStation 5 Controllers_21_4.png
22,PlayStation 5 Controllers,Wireless Gaming Controller for Playstation 5/ PS5 Console Gaming Controller Esports Gamepad Gaming Remote Accessories,,36.12,https://www.aliexpress.com/item/1005008055107503.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-21&pdp_npi=4%40dis%21PKR%2126501.88%2110600.67%21%21%21687.88%21275.15%21%4021411ecc17317818742363674e29cf%2112000043464613248%21sea%21PK%210%21ABX&curPageLogUid=PULhXuQSneni&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_22_1.png,./productsAliExpress/PlayStation 5 Controllers_22_2.png,./productsAliExpress/PlayStation 5 Controllers_22_3.png,./productsAliExpress/PlayStation 5 Controllers_22_4.png
23,PlayStation 5 Controllers,2PCS Gamepad For PS5 Console - P5 Wireless Controller  W/ 6-Axis Gyro Hall Effect Dual Vibration Turbo FUNC  Gaming Handle,,49.67,https://www.aliexpress.com/item/1005008041499565.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-22&pdp_npi=4%40dis%21PKR%2119725.77%2113808.04%21%21%21512.00%21358.40%21%4021411ecc17317818742363674e29cf%2112000043384950813%21sea%21PK%210%21ABX&curPageLogUid=q21lb70g55VX&utparam-url=scene%3Asearch%7Cquery_from%3A,5,./productsAliExpress/PlayStation 5 Controllers_23_2.png,./productsAliExpress/PlayStation 5 Controllers_23_3.png,./productsAliExpress/PlayStation 5 Controllers_23_4.png,
23,PlayStation 5 Controllers,10/5/2PCS Dual axis button rocker game rocker joystick sensor electronic building blocks,,0.9,https://www.aliexpress.com/item/4001178443938.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-23&pdp_npi=4%40dis%21PKR%21277.77%21249.99%21%21%211.00%210.90%21%4021411ecc17317818742363674e29cf%2110000015055468941%21sea%21PK%210%21ABX&curPageLogUid=E0xQP7raSAkF&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_6,0,./productsAliExpress/PlayStation 5 Controllers_23_1.png,,,
24,PlayStation 5 Controllers,Gaming Controller for Playstation 5/ PS5 Esports Gamepad Wireless Gamepad Gaming Remote Accessories,,48.04,https://www.aliexpress.com/item/1005008095023768.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-24&pdp_npi=4%40dis%21PKR%2112997.05%2112997.05%21%21%21337.35%21337.35%21%4021411ecc17317818742363674e29cf%2112000043701526471%21sea%21PK%210%21ABX&curPageLogUid=wFjJz4ODTW4h&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_24_1.png,./productsAliExpress/PlayStation 5 Controllers_24_2.png,./productsAliExpress/PlayStation 5 Controllers_24_3.png,./productsAliExpress/PlayStation 5 Controllers_24_4.png
25,PlayStation 5 Controllers,HORI Fighting Commander OCTA Game Controller USB Wired Gamepad for PS5 Playstation 5 4 PS4 PC Controller,,84.99,https://www.aliexpress.com/item/1005004862200541.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-25&pdp_npi=4%40dis%21PKR%2127774.34%2123607.77%21%21%2199.99%2184.99%21%4021411ecc17317818742363674e29cf%2112000030790320229%21sea%21PK%210%21ABX&curPageLogUid=4DFIHST7mWMx&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_25_1.png,./productsAliExpress/PlayStation 5 Controllers_25_2.png,./productsAliExpress/PlayStation 5 Controllers_25_3.png,./productsAliExpress/PlayStation 5 Controllers_25_4.png
26,PlayStation 5 Controllers,Wireless Controller for Playstation 5/ PS5 Gaming Controller Esports Gamepad Wireless Gamepad,,39.83,https://www.aliexpress.com/item/1005008061833731.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-26&pdp_npi=4%40dis%21PKR%2128944.10%2111577.71%21%21%21751.27%21300.51%21%4021411ecc17317818742363674e29cf%2112000043499236465%21sea%21PK%210%21ABX&curPageLogUid=3yvrvv3XvBht&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_26_1.png,./productsAliExpress/PlayStation 5 Controllers_26_2.png,./productsAliExpress/PlayStation 5 Controllers_26_3.png,./productsAliExpress/PlayStation 5 Controllers_26_4.png
27,PlayStation 5 Controllers,8Bitdo Receptor USB Wireless Bluetooth-compatible Adapter 2 Receiver for Windows Mac Nintendo Switch PS1 for PS4 PS5 Controller,,7.36,https://www.aliexpress.com/item/1005006016948890.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-27&pdp_npi=4%40dis%21PKR%215028.53%213972.51%21%21%21130.52%21103.11%21%4021411ecc17317818742363674e29cf%2112000037177775122%21sea%21PK%210%21ABX&curPageLogUid=vBInSmrbElOx&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_7,4.7,./productsAliExpress/PlayStation 5 Controllers_27_2.png,./productsAliExpress/PlayStation 5 Controllers_27_3.png,./productsAliExpress/PlayStation 5 Controllers_27_4.png,
28,PlayStation 5 Controllers,Plug and Play for PS5 Elite Wired Controller with Back Button  Playstation 5 Slim Pro Console Gaming Pad Gamepad with Paddles,,25.26,https://www.aliexpress.com/item/1005007960542369.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-28&pdp_npi=4%40dis%21PKR%2130626.57%2111025.62%21%21%21794.94%21286.18%21%4021411ecc17317818742363674e29cf%2112000043040624192%21sea%21PK%210%21ABX&curPageLogUid=kU0zpNrGQMcA&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_28_2.png,./productsAliExpress/PlayStation 5 Controllers_28_3.png,./productsAliExpress/PlayStation 5 Controllers_28_4.png,
